year_mobility,region_origin,destination,latitude,longitude,n_mobile
2003,Sub-Saharan Africa,CH,47.00016,8.01427,10
2003,Sub-Saharan Africa,DE,51.5,10.5,32
2003,Sub-Saharan Africa,GM,13.5,-15.5,2
2003,Sub-Saharan Africa,TR,39,35,1
2003,Sub-Saharan Africa,ZM,-14.33333,28.5,4
2004,Sub-Saharan Africa,BH,26.03333,50.55,2
2004,Sub-Saharan Africa,BR,-10,-55,1
2004,Sub-Saharan Africa,CY,35,33,1
2004,Sub-Saharan Africa,DE,51.5,10.5,30
2004,Sub-Saharan Africa,GH,8.1,-1.2,2
2004,Sub-Saharan Africa,HR,45.16667,15.5,1
2004,Sub-Saharan Africa,IE,53,-8,1
2004,Sub-Saharan Africa,KE,1,38,12
2004,Sub-Saharan Africa,MW,-13.5,34,1
2004,Sub-Saharan Africa,MX,23,-102,1
2004,Sub-Saharan Africa,NZ,-42,174,5
2004,Sub-Saharan Africa,OM,21,57,2
2004,Sub-Saharan Africa,QA,25.5,51.25,2
2005,Sub-Saharan Africa,BF,12.5,-1.66667,2
2005,Sub-Saharan Africa,DE,51.5,10.5,34
2005,Sub-Saharan Africa,IE,53,-8,5
2005,Sub-Saharan Africa,IL,31.5,34.75,3
2005,Sub-Saharan Africa,QA,25.5,51.25,1
2006,Sub-Saharan Africa,ET,9,39.5,3
2006,Sub-Saharan Africa,OM,21,57,2
2007,Sub-Saharan Africa,BO,-17,-65,1
2007,Sub-Saharan Africa,IN,22,79,6
2007,Sub-Saharan Africa,KE,1,38,13
2007,Sub-Saharan Africa,PT,39.6945,-8.13057,1
2007,Sub-Saharan Africa,SI,46.08333,15,2
2008,Sub-Saharan Africa,ID,-5,120,1
2008,Sub-Saharan Africa,SE,62,15,18
2008,Sub-Saharan Africa,TG,8.66667,1.08333,1
2008,Sub-Saharan Africa,ZA,-29,24,59
2009,Sub-Saharan Africa,CM,6,12.5,8
2009,Sub-Saharan Africa,CN,35,105,7
2009,Sub-Saharan Africa,DZ,28,3,1
2009,Sub-Saharan Africa,SA,25,45,4
2009,Sub-Saharan Africa,SL,8.5,-11.5,1
2009,Sub-Saharan Africa,SZ,-26.5,31.5,2
2009,Sub-Saharan Africa,TZ,-6,35,4
2010,Sub-Saharan Africa,BH,26.03333,50.55,3
2010,Sub-Saharan Africa,GD,12.11667,-61.66667,1
2010,Sub-Saharan Africa,ML,18,-2,1
2010,Sub-Saharan Africa,TT,11,-61,1
2010,Sub-Saharan Africa,ZW,-19,29.75,5
2011,Sub-Saharan Africa,GH,8.1,-1.2,10
2011,Sub-Saharan Africa,GM,13.5,-15.5,1
2011,Sub-Saharan Africa,IL,31.5,34.75,4
2011,Sub-Saharan Africa,MA,28.5,-10,1
2011,Sub-Saharan Africa,MW,-13.5,34,2
2011,Sub-Saharan Africa,RO,46,25,1
2011,Sub-Saharan Africa,SA,25,45,11
2011,Sub-Saharan Africa,ZM,-14.33333,28.5,3
2012,Sub-Saharan Africa,BD,24,90,2
2012,Sub-Saharan Africa,BO,-17,-65,1
2012,Sub-Saharan Africa,BR,-10,-55,9
