year_collaboration,main_field_id,country_region,n_pub_region,co_country_region,n_pub,prop_coll
1996,2,LAC,6827,Domestic,2955,0.432840193
1996,3,LAC,4724,Domestic,2206,0.466977138
1996,4,LAC,1537,Domestic,684,0.445022772
1996,5,LAC,1311,Domestic,444,0.338672769
1996,All,LAC,13699,Domestic,5861,0.427841448
1995,1,LAC,534,Domestic,85,0.15917603
1995,2,LAC,6084,Domestic,2584,0.424720579
1995,3,LAC,3842,Domestic,1943,0.505726184
1995,4,LAC,1458,Domestic,686,0.470507545
1995,5,LAC,1152,Domestic,416,0.361111111
1995,All,LAC,11918,Domestic,5193,0.435727471
1994,1,LAC,545,Domestic,87,0.159633028
1994,2,LAC,5458,Domestic,2282,0.418101869
1994,3,LAC,3358,Domestic,1760,0.524121501
1994,4,LAC,1290,Domestic,600,0.465116279
1994,5,LAC,920,Domestic,346,0.376086957
1994,All,LAC,10513,Domestic,4625,0.439931513
1993,1,LAC,490,Domestic,84,0.171428571
1993,2,LAC,4919,Domestic,2021,0.410855865
1993,3,LAC,2916,Domestic,1521,0.521604938
1993,4,LAC,1160,Domestic,525,0.452586207
1993,5,LAC,748,Domestic,258,0.344919786
1993,All,LAC,9312,Domestic,4007,0.430304983
1992,1,LAC,381,Domestic,79,0.207349081
1992,2,LAC,4801,Domestic,1945,0.405123933
1992,3,LAC,2727,Domestic,1419,0.520352035
1992,4,LAC,908,Domestic,392,0.431718062
1992,5,LAC,673,Domestic,244,0.362555721
1992,All,LAC,8705,Domestic,3741,0.429753016
1991,1,LAC,380,Domestic,56,0.147368421
1991,2,LAC,4361,Domestic,1746,0.400366888
1991,3,LAC,2259,Domestic,1194,0.528552457
1991,4,LAC,880,Domestic,374,0.425
1991,5,LAC,617,Domestic,227,0.367909238
1991,All,LAC,7732,Domestic,3276,0.42369374
1990,1,LAC,305,Domestic,34,0.11147541
1990,2,LAC,4243,Domestic,1715,0.404195145
1990,3,LAC,2112,Domestic,1127,0.533617424
1990,4,LAC,803,Domestic,330,0.410958904
1990,5,LAC,571,Domestic,193,0.338003503
1990,All,LAC,7349,Domestic,3117,0.424139339
